Occupation,workersMen,earningsMen,earningsWomen,workersWomen
Chief executives,832,2419,1876,318
General and operations managers,626,1358,1037,250
Marketing and sales managers,518,1745,1142,403
Administrative services managers,101,1398,952,71
Computer and information systems managers,443,1756,1680,150
Financial managers,527,1670,1157,578
Human resources managers,73,1737,1283,190
Industrial production managers,201,1409,1219,66
Purchasing managers,95,1400,1169,92
Transportation storage and distribution managers,237,990,988,51
Education administrators,297,1528,1280,541
Food service managers,410,853,632,350
Lodging managers,59,1068,764,64
Medical and health services managers,133,1610,1254,399
Real estate managers,181,1157,815,221
Social/community service managers,115,1206,992,248
Managers - all other,1845,1542,1188,1115
Wholesale and retail buyers,68,942,765,83
Purchasing agents,128,1037,974,125
Adjusters appraisers examiners,114,1139,912,206
Compliance officers,106,1274,1163,146
Human resources workers,166,1364,1089,465
Management analysts,332,1586,1342,253
Market research analysts,116,1345,1097,130
Business operations - all other,110,1263,1001,146
Accountants and auditors,559,1441,1018,892
Financial analysts,173,1747,1252,104
Personal financial advisors,258,1714,953,142
Credit counselors and loan officers,151,1331,926,200
Computer systems analysts,314,1475,1328,182
Computer programmers,300,1466,1312,104
Software developers/systems software,1084,1863,1553,266
Computer support specialists,367,1078,1014,124
Computer occupations all other,418,1244,1055,106
Operations research analysts,59,1382,1300,66
Engineers all other,430,1659,1401,63
Engineering technicians,275,1075,793,75
Medical scientists,69,1250,1169,57
Physical scientists - all other,131,1727,1323,111
Life physical and social science,62,949,826,57
Counselors,184,892,907,473
Social workers,127,1039,884,557
Clergy,315,1070,893,53
Lawyers,446,2086,1619,299
Postsecondary teachers,535,1356,1152,445
Elementary/middle school teachers,605,1126,981,2231
Secondary school teachers,403,1146,1074,562
Other teachers and instructors,156,1135,786,214
Teacher assistants,56,501,525,532
Designers,290,1267,922,297
Producers and directors,78,1228,1030,50
Editors,64,1112,1035,56
Pharmacists,89,2096,1839,133
Physicians and surgeons,497,2343,1476,308
Physical therapists,69,1348,1306,128
Registered nurses,285,1261,1143,2213
Clinical lab tech,97,1071,834,198
Diagnostic related tech,79,1156,936,175
EMT and paramedics,114,821,650,60
Health practitioner support tech,113,712,643,361
Nursing psychiatric and home health aides,194,534,498,1192
Bailiffs correctional officers and jailers,275,793,672,91
Police and sheriff's patrol officers,609,1008,938,100
Security guards/surveillance officers,576,597,516,152
Chefs and head cooks,288,632,519,68
Food Prep Supervisors,174,666,485,251
Cooks,892,459,421,515
Food preparation workers,215,432,413,262
Bartenders,131,701,498,122
Food preparation and Servers,72,381,402,125
Waiters and waitresses,342,504,441,607
Dining attendants,82,465,407,51
Housekeeping supervisors,119,702,524,71
Janitors,1139,564,476,441
Maids,120,497,427,661
Gaming supervisors,68,840,717,59
Personal care aides,125,514,469,636
Recreation and fitness workers,92,668,517,100
Retail sales supervisors,1321,857,630,1047
Non-retail sales supervisors,552,1161,1004,230
Cashiers,402,475,403,965
Retail salespersons,1103,730,514,728
Advertising sales agents,122,1034,999,81
Insurance sales agents,218,1166,676,205
Financial service agents,155,1458,951,63
Sales reps - all other,282,1202,826,145
Sales - wholesale and manufacturing,819,1140,872,302
Real estate brokers and sales agents,209,1222,780,284
Sales and related workers all other,103,946,709,68
Office supervisors,383,942,809,819
Accountants,115,790,716,641
Customer service,664,676,623,1185
Receptionists,103,600,581,848
Dispatchers,126,734,671,153
Postal service clerks,58,999,805,53
Postal service carriers,185,1020,931,119
Production planning and expediting clerks,113,935,765,111
Shipping receiving and traffic clerks,322,602,583,151
Stock clerks and order fillers,643,533,526,371
Secretaries and administrative assistants,133,831,708,2078
Data entry,51,655,630,170
Office clerks general,140,707,648,760
Office and administrative support,107,855,751,351
Miscellaneous agricultural workers,547,524,423,111
Production and operations supervisors,599,972,723,131
Electrical electronics and electromechanical assemblers,55,618,554,50
Miscellaneous assemblers and fabricators,645,625,559,345
Bakers,55,562,480,83
Butchers and other meat poultry and fish processing workers,183,571,449,61
Laundry and dry-cleaning workers,55,486,436,80
Sewing machine operators,52,407,452,114
Inspectors testers sorters samplers and weighers,445,834,584,241
Packaging and filling machine operators and tenders,112,574,425,113
Production workers all other,641,690,515,246
Bus drivers,197,691,589,146
Driver/sales workers and truck drivers,2689,787,630,120
Industrial truck and tractor operators,510,604,563,54
Laborers,1196,580,509,221
Packers and packagers,166,468,437,216
