Occupation,workersMen,earningsMen,earningsWomen,workersWomen,earningsTotal,more
Chief executives,832,2419,1876,318,2303,1
General and operations managers,626,1358,1037,250,1266,1
Marketing and sales managers,518,1745,1142,403,1468,1
Administrative services managers,101,1398,952,71,1261,1
Computer and information systems managers,443,1756,1680,150,1738,2
Financial managers,527,1670,1157,578,1423,1
Human resources managers,73,1737,1283,190,1340,1
Industrial production managers,201,1409,1219,66,1361,1
Purchasing managers,95,1400,1169,92,1274,1
Transportation storage and distribution managers,237,990,988,51,990,2
Education administrators,297,1528,1280,541,1381,1
Food service managers,410,853,632,350,739,1
Lodging managers,59,1068,764,64,929,1
Medical and health services managers,133,1610,1254,399,1402,1
Real estate managers,181,1157,815,221,959,1
Social/community service managers,115,1206,992,248,1079,1
Managers - all other,1845,1542,1188,1115,1422,1
Wholesale and retail buyers,68,942,765,83,838,1
Purchasing agents,128,1037,974,125,1024,1
Adjusters appraisers examiners,114,1139,912,206,969,1
Compliance officers,106,1274,1163,146,1243,1
Human resources workers,166,1364,1089,465,1139,1
Management analysts,332,1586,1342,253,1476,1
Market research analysts,116,1345,1097,130,1171,1
Business operations - all other,110,1263,1001,146,1125,1
Accountants and auditors,559,1441,1018,892,1153,1
Financial analysts,173,1747,1252,104,1525,1
Personal financial advisors,258,1714,953,142,1404,1
Credit counselors and loan officers,151,1331,926,200,1054,1
Computer systems analysts,314,1475,1328,182,1393,1
Computer programmers,300,1466,1312,104,1398,1
Software developers/systems software,1084,1863,1553,266,1776,1
Computer support specialists,367,1078,1014,124,1060,1
Computer occupations all other,418,1244,1055,106,1195,1
Operations research analysts,59,1382,1300,66,1315,1
Engineers all other,430,1659,1401,63,1573,1
Engineering technicians,275,1075,793,75,997,1
Medical scientists,69,1250,1169,57,1211,1
Physical scientists - all other,131,1727,1323,111,1416,1
Life physical and social science,62,949,826,57,894,1
Counselors,184,892,907,473,904,2
Social workers,127,1039,884,557,906,1
Clergy,315,1070,893,53,1039,1
Lawyers,446,2086,1619,299,1897,1
Postsecondary teachers,535,1356,1152,445,1247,1
Elementary/middle school teachers,605,1126,981,2231,1009,1
Secondary school teachers,403,1146,1074,562,1111,1
Other teachers and instructors,156,1135,786,214,938,1
Teacher assistants,56,501,525,532,523,2
Designers,290,1267,922,297,1086,1
Producers and directors,78,1228,1030,50,1163,1
Editors,64,1112,1035,56,1053,1
Pharmacists,89,2096,1839,133,1924,1
Physicians and surgeons,497,2343,1476,308,1916,1
Physical therapists,69,1348,1306,128,1325,2
Registered nurses,285,1261,1143,2213,1154,1
Clinical lab tech,97,1071,834,198,887,1
Diagnostic related tech,79,1156,936,175,1041,1
EMT and paramedics,114,821,650,60,779,1
Health practitioner support tech,113,712,643,361,662,1
Nursing psychiatric and home health aides,194,534,498,1192,503,1
Bailiffs correctional officers and jailers,275,793,672,91,749,1
Police and sheriff's patrol officers,609,1008,938,100,1004,1
Security guards/surveillance officers,576,597,516,152,585,1
Chefs and head cooks,288,632,519,68,614,1
Food Prep Supervisors,174,666,485,251,528,1
Cooks,892,459,421,515,444,1
Food preparation workers,215,432,413,262,419,2
Bartenders,131,701,498,122,602,1
Food preparation and Servers,72,381,402,125,396,1
Waiters and waitresses,342,504,441,607,470,1
Dining attendants,82,465,407,51,420,1
Housekeeping supervisors,119,702,524,71,655,1
Janitors,1139,564,476,441,526,1
Maids,120,497,427,661,441,1
Gaming supervisors,68,840,717,59,792,1
Personal care aides,125,514,469,636,477,1
Recreation and fitness workers,92,668,517,100,596,1
Retail sales supervisors,1321,857,630,1047,743,1
Non-retail sales supervisors,552,1161,1004,230,1137,1
Cashiers,402,475,403,965,414,1
Retail salespersons,1103,730,514,728,623,1
Advertising sales agents,122,1034,999,81,1023,2
Insurance sales agents,218,1166,676,205,839,1
Financial service agents,155,1458,951,63,1351,1
Sales reps - all other,282,1202,826,145,1040,1
Sales - wholesale and manufacturing,819,1140,872,302,1047,1
Real estate brokers and sales agents,209,1222,780,284,983,1
Sales and related workers all other,103,946,709,68,805,1
Office supervisors,383,942,809,819,848,1
Accountants,115,790,716,641,722,1
Customer service,664,676,623,1185,640,1
Receptionists,103,600,581,848,583,1
Dispatchers,126,734,671,153,704,1
Postal service clerks,58,999,805,53,901,1
Postal service carriers,185,1020,931,119,981,1
Production planning and expediting clerks,113,935,765,111,853,1
Shipping receiving and traffic clerks,322,602,583,151,596,2
Stock clerks and order fillers,643,533,526,371,530,2
Secretaries and administrative assistants,133,831,708,2078,713,1
Data entry,51,655,630,170,638,2
Office clerks general,140,707,648,760,654,1
Office and administrative support,107,855,751,351,768,1
Miscellaneous agricultural workers,547,524,423,111,508,1
Production and operations supervisors,599,972,723,131,923,1
Electronics/mechanical assemblers,55,618,554,50,590,1
Miscellaneous assemblers and fabricators,645,625,559,345,601,1
Bakers,55,562,480,83,494,1
Butchers/processing workers,183,571,449,61,526,1
Laundry and dry-cleaning workers,55,486,436,80,454,1
Sewing machine operators,52,407,452,114,437,0
Inspectors testers sorters samplers and weighers,445,834,584,241,714,1
Packaging and filling machine operators and tenders,112,574,425,113,488,1
Production workers all other,641,690,515,246,622,1
Bus drivers,197,691,589,146,641,1
Driver/sales workers and truck drivers,2689,787,630,120,780,1
Industrial truck and tractor operators,510,604,563,54,602,1
Laborers,1196,580,509,221,566,1
Packers and packagers,166,468,437,216,456,1
